case_id,prediction_timestamp,purchase_order_event_id,purchase_amount,priority,category,vendor_id,elapsed_hours_to_purchase_order,activities_completed_to_purchase_order,unique_activities_completed,has_budget_review,manager_approval_completed,approval_rework_count,total_rework_events_so_far,average_transition_time_so_far,maximum_transition_time_so_far,sla_breached
C000099,2025-08-11 16:07:07.379461520,C000099_E03,60854.69,Low,Software,V016,123.11871651708888,3,3,0,1,0,0,59.869119311193614,74.61650504183805,0
C000100,2025-01-21 09:42:05.540717047,C000100_E04,115623.16,Low,IT Equipment,V004,187.7015390880686,4,3,0,1,1,1,61.57177353441722,89.7488788181439,0
C000101,2025-12-18 12:20:03.790849115,C000101_E04,71840.65,Medium,Software,V032,213.16771968030972,4,4,1,1,0,0,64.44816535185443,143.351502330265,0
C000102,2025-12-26 13:00:33.016682490,C000102_E04,146477.88,High,Services,V005,93.17583796735833,4,4,1,1,0,0,25.35517578474602,30.77814371431389,0
C000103,2025-12-26 13:31:08.827086798,C000103_E04,115906.15,Medium,Services,V007,93.18578530188833,4,4,1,1,0,0,25.555456011231296,31.23940090650111,0
C000104,2025-01-16 08:16:15.669426045,C000104_E03,42463.47,Medium,IT Equipment,V005,67.2710192850125,3,3,0,1,0,0,23.872776856327913,40.28095430171944,0
C000105,2025-08-20 12:48:47.614421587,C000105_E03,107578.06,Medium,Services,V040,147.14655956155192,3,3,0,1,0,0,72.21279961675222,119.80855319354723,0
C000106,2025-02-11 10:04:48.447229093,C000106_E03,63489.4,High,Software,V010,90.41345756363694,3,3,0,1,0,0,12.893439892701387,19.237682350436387,0
C000107,2025-01-10 09:34:46.971913722,C000107_E03,95336.47,Medium,IT Equipment,V031,94.746381087145,3,3,0,1,0,0,36.05680639742736,51.632120594782776,0
C000108,2025-07-22 13:31:19.007039822,C000108_E03,97505.54,Low,Maintenance,V023,261.8552797332839,3,3,0,1,0,0,97.45718268410278,190.8740227356111,1
C000109,2025-08-08 09:52:29.123182292,C000109_E03,76190.07,High,Software,V030,49.874756439525555,3,3,0,1,0,0,23.452520442387776,27.651223037065833,0
C000110,2025-06-05 16:48:32.270396889,C000110_E03,30941.62,Medium,Office Supplies,V024,145.14229733246918,3,3,0,1,0,0,39.27191224070792,54.41483888427778,0
C000111,2025-11-14 11:13:47.775111581,C000111_E03,72085.65,Medium,Maintenance,V021,96.22993753099473,3,3,0,1,0,0,45.31673462581208,49.0020598254075,1
C000112,2025-03-03 10:45:58.552503671,C000112_E04,47185.52,High,Office Supplies,V047,118.76626458435305,4,4,1,1,0,0,39.21371302157843,65.11311069416945,0
C000113,2025-11-11 13:23:07.130607557,C000113_E04,123908.8,Low,Services,V010,670.3853140576547,4,4,1,1,0,0,216.79497561588687,596.7400271428122,1
C000114,2025-04-03 10:23:06.967896484,C000114_E03,30462.51,High,Services,V013,70.88526886013445,3,3,0,1,0,0,34.70554935341889,47.63277699372833,0
C000115,2025-10-29 10:38:20.502881105,C000115_E03,33249.48,High,Office Supplies,V006,43.972361911418055,3,3,0,1,0,0,20.65333043758861,21.141050040916387,0
C000116,2025-11-24 13:14:01.524249742,C000116_E04,153259.91,Low,Software,V040,171.0670900693728,4,4,1,1,0,0,55.55160553377277,76.92756616022861,0
C000117,2025-06-04 13:01:58.937523874,C000117_E04,143319.79,Low,Services,V043,117.36637153440944,4,4,1,1,0,0,17.187150057233335,23.768690979530277,0
C000118,2025-05-12 10:28:59.524334445,C000118_E03,72099.49,Medium,Office Supplies,V019,145.64986787067917,3,3,0,1,0,0,72.27437570104513,76.44851400884889,0
C000119,2025-03-19 09:32:37.519922731,C000119_E03,57727.9,Low,Office Supplies,V012,137.04375553409193,3,3,0,1,0,0,59.853222401524306,94.37686883551444,0
C000120,2025-09-11 14:25:42.498102198,C000120_E04,317697.68,Medium,Software,V008,74.928471695055,4,4,1,1,0,0,23.86592653052537,43.96627028056667,0
C000121,2025-07-09 12:07:31.382054066,C000121_E03,46313.91,Medium,Office Supplies,V012,121.29205057057389,3,3,0,1,0,0,57.76871564954792,111.56912803417,0
C000122,2025-03-04 08:53:36.482878328,C000122_E03,50814.04,High,Office Supplies,V050,136.89346746620222,3,3,0,1,0,0,58.668843546381666,97.95541853000888,0
C000123,2025-10-30 08:36:16.325320347,C000123_E03,51999.32,Medium,Maintenance,V041,137.43786814454083,3,3,0,1,0,0,35.96572432630667,52.83391888463139,0
C000124,2025-02-06 16:38:06.979600377,C000124_E03,33722.77,Medium,Software,V040,49.46860544454917,3,3,0,1,0,0,15.99557974470014,23.184433813709447,0
C000125,2025-07-03 14:31:04.273039631,C000125_E03,47863.83,High,Software,V022,54.51785362211972,3,3,0,1,0,0,25.524494294799307,46.50793233686723,0
C000126,2025-09-22 17:27:57.073274409,C000126_E03,16716.79,High,Office Supplies,V033,78.29918702066917,3,3,0,1,0,0,38.36827568595125,71.15669167792639,0
C000127,2025-07-24 17:16:33.130467353,C000127_E03,32900.78,Medium,Office Supplies,V011,73.44253624093139,3,3,0,1,0,0,26.740331402630833,45.679240703328055,0
C000128,2025-12-25 13:24:21.505760095,C000128_E03,27035.42,Low,Services,V025,144.90597382224863,3,3,0,1,0,0,69.91974937785486,114.40619633781361,0
C000129,2025-05-02 12:34:50.854698924,C000129_E03,79294.24,Medium,Services,V011,96.91412630525667,3,3,0,1,0,0,46.69558372798375,69.330306452415,0
C000130,2025-05-27 13:21:44.528539124,C000130_E04,22534.47,Low,Services,V021,148.86236903864554,4,3,0,1,1,1,48.33206110977074,95.06700770646749,1
C000131,2025-01-15 09:30:46.476727439,C000131_E03,61823.07,Medium,Office Supplies,V044,46.84624353539972,3,3,0,1,0,0,21.54334147481722,22.273613611996943,0
C000132,2025-06-04 12:29:49.280262238,C000132_E03,23472.37,High,IT Equipment,V004,45.663688961732774,3,3,0,1,0,0,14.017120894560277,27.43623198672333,1
C000133,2025-03-26 16:40:07.558010417,C000133_E03,28858.59,High,IT Equipment,V042,121.50209944733805,3,3,0,1,0,0,28.01076940040847,28.94359938529,0
C000134,2025-12-19 17:22:37.611932607,C000134_E03,94294.34,Medium,IT Equipment,V026,74.54378109239084,3,3,0,1,0,0,36.1250860427175,64.0292023004586,0
C000135,2025-11-27 15:23:10.198131471,C000135_E03,86360.99,High,Software,V003,71.21949948096416,3,3,0,1,0,0,26.762649064354445,52.05478715492361,1
C000136,2025-12-08 11:23:19.014830317,C000136_E04,48541.39,Low,IT Equipment,V043,263.3886152306436,4,4,1,1,0,0,86.57249908175982,118.49372034027944,0
C000137,2025-09-15 16:01:22.958820005,C000137_E03,34352.96,Low,Maintenance,V012,121.68971078333472,3,3,0,1,0,0,49.97371689583237,93.3874946450739,0
C000138,2025-10-08 17:35:57.800002264,C000138_E03,87188.54,Medium,Maintenance,V007,57.26605555618445,3,3,0,1,0,0,25.67202738574389,43.90863034264111,0
C000139,2025-04-28 11:34:56.064613408,C000139_E03,42688.65,Medium,IT Equipment,V015,145.41557350372443,3,3,0,1,0,0,70.63267956751721,71.70522857381583,0
C000140,2025-07-02 08:10:44.807688773,C000140_E03,42035.02,Medium,IT Equipment,V025,46.34577991354806,3,3,0,1,0,0,20.867542604367916,22.8167769986675,0
C000141,2025-01-20 17:35:20.416647625,C000141_E03,15622.78,Medium,Services,V004,126.08900462434028,3,3,0,1,0,0,60.387760663280275,75.83428671314472,0
C000142,2025-06-18 09:40:35.221531997,C000142_E03,27849.31,High,Services,V034,49.67645042555472,3,3,0,1,0,0,23.80273178826625,24.697845975165553,0
C000143,2025-09-04 10:10:18.414752172,C000143_E04,85125.05,High,Office Supplies,V002,66.17178187560333,4,4,1,1,0,0,16.043102223431294,26.558281629570555,0
C000144,2025-04-28 08:13:44.172123434,C000144_E03,33534.82,High,Maintenance,V019,112.39560336762057,3,3,0,1,0,0,47.975768422488194,69.53619423221444,0
C000145,2025-06-12 12:25:02.752078444,C000145_E03,37216.98,Medium,Maintenance,V006,74.41743113290111,3,3,0,1,0,0,34.754571662532356,44.64525994404805,0
C000146,2025-12-29 09:59:36.035635924,C000146_E04,119123.98,High,Services,V018,120.49334323220111,4,4,1,1,0,0,39.16395129375463,72.20990077550222,0
C000147,2025-05-08 15:24:29.090970970,C000147_E03,31104.4,High,Maintenance,V044,73.07474749193611,3,3,0,1,0,0,35.82202580530125,49.93204954791389,0
C000148,2025-06-12 11:42:27.325340999,C000148_E04,139605.26,Low,Office Supplies,V029,214.70759037249974,4,4,1,1,0,0,69.98635942996464,119.91601358436333,0
C000149,2025-07-01 08:46:45.455910507,C000149_E03,27048.83,Medium,IT Equipment,V010,116.44595997514084,3,3,0,1,0,0,56.68313690703736,93.66156219466416,0
C000150,2025-12-23 10:47:16.537377664,C000150_E04,149658.86,Medium,Office Supplies,V016,187.7879270493511,4,4,1,1,0,0,62.42930901645037,88.84234176929445,0
C000151,2025-01-14 10:40:26.777441274,C000151_E04,131714.29,Medium,Office Supplies,V002,186.17410484479834,4,4,1,1,0,0,56.30296105256074,94.30950372017222,0
C000152,2025-06-10 16:07:58.203172649,C000152_E03,82131.14,Medium,IT Equipment,V016,102.46616754795807,3,3,0,1,0,0,50.913611969727505,93.97048779492084,0
C000153,2025-09-24 09:02:34.037772201,C000153_E04,193254.12,Medium,Office Supplies,V013,188.87612160338918,4,4,1,1,0,0,62.11886374569443,124.61451564550639,0
C000154,2025-11-20 09:47:26.614642826,C000154_E03,15585.85,High,Office Supplies,V045,69.95739295634056,3,3,0,1,0,0,33.26440849482917,43.25386394901222,0
C000155,2025-09-26 09:02:50.342228036,C000155_E04,58540.2,Medium,Maintenance,V044,93.21398395223223,4,4,1,1,0,0,30.074152583904354,43.79039993473667,0
C000156,2025-08-04 08:50:35.002745816,C000156_E03,100366.09,Medium,IT Equipment,V016,139.17638965161555,3,3,0,1,0,0,59.060348903088055,69.33013083400195,0
C000157,2026-01-06 14:49:08.454173011,C000157_E03,46306.76,Medium,Software,V012,171.31901504805862,3,3,0,1,0,0,84.0654932906061,141.3528012131111,0
C000158,2025-05-05 09:08:28.653170268,C000158_E03,66573.4,Low,Office Supplies,V044,115.47462588063,3,3,0,1,0,0,56.32286632841736,71.532402216625,0
C000159,2025-12-29 12:49:33.931428483,C000159_E03,38304.26,Low,Office Supplies,V014,119.3260920634675,3,3,0,1,0,0,49.985279466117085,71.29959136085195,0
C000160,2025-06-05 17:55:00.577470919,C000160_E03,57181.3,Medium,Office Supplies,V041,77.58349374192194,3,3,0,1,0,0,37.12652073723236,64.49329446246445,0
C000161,2025-08-13 16:26:19.319051921,C000161_E03,50255.4,Low,Services,V010,124.93869973664472,3,3,0,1,0,0,60.28721244270709,114.04879984375195,0
C000162,2025-06-24 11:32:45.934241670,C000162_E03,112954.07,High,Software,V050,24.546092844908333,3,3,0,1,0,0,11.588241765675278,21.822320773966943,0
C000163,2025-03-20 12:35:04.456990642,C000163_E03,7361.28,Medium,Office Supplies,V045,69.91790471962278,3,3,0,1,0,0,25.995585049111945,29.781294329918335,0
C000164,2025-05-23 09:32:19.240918529,C000164_E03,92835.98,Medium,Services,V013,97.53867803292472,3,3,0,1,0,0,47.479636136782915,72.84959328021722,0
C000165,2025-06-23 12:34:36.082887294,C000165_E03,50867.52,Medium,Software,V050,121.41002302424833,3,3,0,1,0,0,58.34513223444764,70.03916177729222,0
C000166,2025-06-09 10:01:07.781812775,C000166_E03,20711.25,Low,Maintenance,V044,166.18549494799305,3,3,0,1,0,0,80.23608443168,92.65519332679445,0
